<p>
BTHO0397-00000004	신경학	신경학/NNG
BTHO0397-00011318	때는	때/NNG + 는/JX
BTHO0397-00011319	반드시	반드시/MAG
BTHO0397-00011320	좌우측의	좌우/NNG + 측/NNB + 의/JKG
BTHO0397-00011321	비교가	비교/NNG + 가/JKS
BTHO0397-00011322	필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF
</p>
<p>
BTHO0397-00011323	간혹	간혹/MAG
BTHO0397-00011324	감각	감각/NNG
BTHO0397-00011325	상실이	상실/NNG + 이/JKS
BTHO0397-00011326	해부학적으로	해부학/NNG + 적/XSN + 으로/JKB
BTHO0397-00011327	맞지	맞/VV + 지/EC
BTHO0397-00011328	않게	않/VX + 게/EC
BTHO0397-00011329	모발선	모발/NNG + 선/NNG
BTHO0397-00011330	혹은	혹은/MAG
BTHO0397-00011331	중앙선	중앙선/NNG
BTHO0397-00011332	등을	등/NNB + 을/JKO
BTHO0397-00011333	넘어가는	넘어가/VV + 는/ETM
BTHO0397-00011334	경우라면,	경우/NNG + 이/VCP + 라면/EC + ,/SP
BTHO0397-00011335	이는	이/NP + 는/JX
BTHO0397-00011336	히스테리나	히스테리/NNG + 나/JC
BTHO0397-00011337	사병	사병/NNG
BTHO0397-00011338	(malingering)을	(/SS + malingering/SL + )/SS + 을/JKO
BTHO0397-00011339	의미하게	의미/NNG + 하/XSV + 게/EC
BTHO0397-00011340	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011341	한편	한편/MAG
BTHO0397-00011342	얼굴에서의	얼굴/NNG + 에서/JKB + 의/JKG
BTHO0397-00011343	감각	감각/NNG
BTHO0397-00011344	상실은	상실/NNG + 은/JX
BTHO0397-00011345	삼차	삼/NR + 차/NNB
BTHO0397-00011346	신경분지	신경/NNG + 분지/NNG
BTHO0397-00011347	분포	분포/NNG
BTHO0397-00011348	지역에	지역/NNG + 에/JKB
BTHO0397-00011349	따른	따르/VV + ᆫ/ETM
BTHO0397-00011350	경우인지	경우/NNG + 이/VCP + ᆫ지/EC
BTHO0397-00011351	또는	또는/MAG
BTHO0397-00011352	코를	코/NNG + 를/JKO
BTHO0397-00011353	중심으로	중심/NNG + 으로/JKB
BTHO0397-00011354	하는	하/VV + 는/ETM
BTHO0397-00011355	마치	마치/MAG
BTHO0397-00011356	'양파	'/SS + 양파/NNG
BTHO0397-00011357	껍질	껍질/NNG
BTHO0397-00011358	양상	양상/NNG
BTHO0397-00011359	(onion-bulb	(/SS + onion/SL + -/SS + bulb/SL
BTHO0397-00011360	pattern)'의	pattern/SL + )/SS + '/SS + 의/JKG
BTHO0397-00011361	감각	감각/NNG
BTHO0397-00011362	소실이	소실/NNG + 이/JKS
BTHO0397-00011363	일어난	일어나/VV + ᆫ/ETM
BTHO0397-00011364	경우인지는	경우/NNG + 이/VCP + ᆫ지/EC + 는/JX
BTHO0397-00011365	구별할	구별/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00011366	필요가	필요/NNG + 가/JKS
BTHO0397-00011367	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00011368	만약	만약/NNG
BTHO0397-00011369	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00011370	감각	감각/NNG
BTHO0397-00011371	상실의	상실/NNG + 의/JKG
BTHO0397-00011372	경우라면	경우/NNG + 이/VCP + 라면/EC
BTHO0397-00011373	이는	이/NP + 는/JX
BTHO0397-00011374	뇌간	뇌간/NNG
BTHO0397-00011375	병변을	병변/NNG + 을/JKO
BTHO0397-00011376	의심케	의심/NNG + 하/XSV + 게/EC
BTHO0397-00011377	하는	하/VV + 는/ETM
BTHO0397-00011378	소견으로서,	소견/NNG + 으로서/JKB + ,/SP
BTHO0397-00011379	통각	통각/NNG
BTHO0397-00011380	및	및/MAG
BTHO0397-00011381	온도각	온도/NNG + 각/NNG
BTHO0397-00011382	소실이	소실/NNG + 이/JKS
BTHO0397-00011383	일어나는	일어나/VV + 는/ETM
BTHO0397-00011384	하부	하부/NNG
BTHO0397-00011385	뇌간	뇌간/NNG
BTHO0397-00011386	병변에서	병변/NNG + 에서/JKB
BTHO0397-00011387	발생하는	발생/NNG + 하/XSV + 는/ETM
BTHO0397-00011388	감각	감각/NNG
BTHO0397-00011389	해리	해리/NNP
BTHO0397-00011390	현상이	현상/NNG + 이/JKS
BTHO0397-00011391	있는지	있/VV + 는지/EC
BTHO0397-00011392	검토해야	검토/NNG + 하/XSV + 아야/EC
BTHO0397-00011393	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<head>
BTHO0397-00011394	(2)	(/SS + 2/SN + )/SS
BTHO0397-00011395	하악	하악/NNG
BTHO0397-00011396	반사	반사/NNG
BTHO0397-00011397	(jaw	(/SS + jaw/SL
BTHO0397-00011398	jerk)	jerk/SL + )/SS
</head>
<p>
BTHO0397-00011399	운동	운동/NNG
BTHO0397-00011400	신경근에서	신경/NNG + 근/NNG + 에서/JKB
BTHO0397-00011401	출발한	출발/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00011402	하악	하악/NNG
BTHO0397-00011403	신경분지의	신경/NNG + 분지/NNG + 의/JKG
BTHO0397-00011404	신경지배를	신경/NNG + 지배/NNG + 를/JKO
BTHO0397-00011405	받는	받/VV + 는/ETM
BTHO0397-00011406	관자근	관자/NNG + 근/NNG
BTHO0397-00011407	(측두근)과	(/SS + 측두근/NNG + )/SS + 과/JC
BTHO0397-00011408	깨물근	깨물/VV + ᆯ/ETM + 근/NNG
BTHO0397-00011409	(교근)은	(/SS + 교근/NNG + )/SS + 은/JX
BTHO0397-00011410	턱을	턱/NNG + 을/JKO
BTHO0397-00011411	닫는	닫/VV + 는/ETM
BTHO0397-00011412	작용을,	작용/NNG + 을/JKO + ,/SP
BTHO0397-00011413	익돌근은	익돌근/NNG + 은/JX
BTHO0397-00011414	턱을	턱/NNG + 을/JKO
BTHO0397-00011415	여는	열/VV + 는/ETM
BTHO0397-00011416	작용을	작용/NNG + 을/JKO
BTHO0397-00011417	수행한다.	수행/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011418	이들	이/NP + 들/XSN
BTHO0397-00011419	근육들은	근육/NNG + 들/XSN + 은/JX
BTHO0397-00011420	대뇌반구	대뇌/NNG + 반구/NNG
BTHO0397-00011421	및	및/MAG
BTHO0397-00011422	뇌간에서	뇌간/NNG + 에서/JKB
BTHO0397-00011423	추체로와	추체로/NNG + 와/JC
BTHO0397-00011424	추체외로를	추체외로/NNG + 를/JKO
BTHO0397-00011425	통해	통하/VV + 아/EC
BTHO0397-00011426	대칭적인	대칭/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00011427	양측성	양측/NNG + 성/XSN
BTHO0397-00011428	상핵	상핵/NNG
BTHO0397-00011429	신경지배를	신경/NNG + 지배/NNG + 를/JKO
BTHO0397-00011430	받는다.	받/VV + 는다/EF + ./SF
</p>
<p>
BTHO0397-00011431	그래서	그래서/MAJ
BTHO0397-00011432	삼차신경핵	삼/NR + 차/NNB + 신경핵/NNG
BTHO0397-00011433	수준	수준/NNG
BTHO0397-00011434	이상의	이상/NNG + 의/JKG
BTHO0397-00011435	일측성	일/NR + 측/NNB + 성/NNG
BTHO0397-00011436	병변에서는	병변/NNG + 에서/JKB + 는/JX
BTHO0397-00011437	턱	턱/NNG
BTHO0397-00011438	기능	기능/NNG
BTHO0397-00011439	장애가	장애/NNG + 가/JKS
BTHO0397-00011440	미약하지만,	미약/XR + 하/XSA + 지만/EC + ,/SP
BTHO0397-00011441	만약	만약/NNG
BTHO0397-00011442	양측성	양측/NNG + 성/XSN
BTHO0397-00011443	장애라면	장애/NNG + 이/VCP + 라면/EC
BTHO0397-00011444	턱	턱/NNG
BTHO0397-00011445	기능	기능/NNG
BTHO0397-00011446	장애가	장애/NNG + 가/JKS
BTHO0397-00011447	현저하게	현저/XR + 하/XSA + 게/EC
BTHO0397-00011448	일어난다.	일어나/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011449	특히	특히/MAG
BTHO0397-00011450	뇌간	뇌간/NNG
BTHO0397-00011451	수준	수준/NNG
BTHO0397-00011452	이상에서	이상/NNG + 에서/JKB
BTHO0397-00011453	양측성	양측/NNG + 성/XSN
BTHO0397-00011454	병변이	병변/NNG + 이/JKS
BTHO0397-00011455	있다면,	있/VV + 다면/EC + ,/SP
BTHO0397-00011456	저작	저작/NNG
BTHO0397-00011457	반사	반사/NNG
BTHO0397-00011458	(chewing	(/SS + chewing/SL
BTHO0397-00011459	reflex)는	reflex/SL + )/SS + 는/JX
BTHO0397-00011460	있지만	있/VV + 지만/EC
BTHO0397-00011461	과활동성을	과/XPN + 활동/NNG + 성/XSN + 을/JKO
BTHO0397-00011462	나타내고	나타내/VV + 고/EC
BTHO0397-00011463	있어	있/VX + 어/EC
BTHO0397-00011464	턱을	턱/NNG + 을/JKO
BTHO0397-00011465	가볍게	가볍/VA + 게/EC
BTHO0397-00011466	두드려서	두드리/VV + 어서/EC
BTHO0397-00011467	유도되는	유도/NNG + 되/XSV + 는/ETM
BTHO0397-00011468	하악	하악/NNG
BTHO0397-00011469	경련	경련/NNG
BTHO0397-00011470	반응이	반응/NNG + 이/JKS
BTHO0397-00011471	일어난다.	일어나/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011472	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00011473	턱의	턱/NNG + 의/JKG
BTHO0397-00011474	삼차	삼/NR + 차/NNB
BTHO0397-00011475	신경	신경/NNG
BTHO0397-00011476	신장	신장/NNG
BTHO0397-00011477	반사	반사/NNG
BTHO0397-00011478	(strech	(/SS + strech/SL
BTHO0397-00011479	reflex)를	reflex/SL + )/SS + 를/JKO
BTHO0397-00011480	'하악	'/SS + 하악/NNG
BTHO0397-00011481	반사	반사/NNG
BTHO0397-00011482	(jaw	(/SS + jaw/SL
BTHO0397-00011483	jerk)'라고	jerk/SL + )/SS + '/SS + 라고/JKQ
BTHO0397-00011484	부른다.	부르/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011485	만약	만약/NNG
BTHO0397-00011486	이와	이/NP + 와/JKB
BTHO0397-00011487	함께	함께/MAG
BTHO0397-00011488	상완	상완/NNG
BTHO0397-00011489	반사	반사/NNG
BTHO0397-00011490	(arm	(/SS + arm/SL
BTHO0397-00011491	jerk)가	jerk/SL + )/SS + 가/JKS
BTHO0397-00011492	동시에	동시/NNG + 에/JKB
BTHO0397-00011493	증가한	증가/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00011494	경우라면	경우/NNG + 이/VCP + 라면/EC
BTHO0397-00011495	뇌교	뇌교/NNG
BTHO0397-00011496	수준의	수준/NNG + 의/JKG
BTHO0397-00011497	병변을	병변/NNG + 을/JKO
BTHO0397-00011498	의심케	의심/NNG + 하/XSV + 게/EC
BTHO0397-00011499	한다.	하/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011500	그러나	그러나/MAJ
BTHO0397-00011501	하악	하악/NNG
BTHO0397-00011502	반사는	반사/NNG + 는/JX
BTHO0397-00011503	정상이고	정상/NNG + 이/VCP + 고/EC
BTHO0397-00011504	상완	상완/NNG
BTHO0397-00011505	반사만	반사/NNG + 만/JX
BTHO0397-00011506	증가한	증가/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00011507	경우는	경우/NNG + 는/JX
BTHO0397-00011508	큰구멍	크/VA + ᆫ/ETM + 구멍/NNG
BTHO0397-00011509	(대공;	(/SS + 대공/NNG + ;/SP
BTHO0397-00011510	foramen	foramen/SL
BTHO0397-00011511	magnum)	magnum/SL + )/SS
BTHO0397-00011512	수준	수준/NNG
BTHO0397-00011513	이하의	이하/NNG + 의/JKG
BTHO0397-00011514	병변일	병변/NNG + 이/VCP + ᆯ/ETM
BTHO0397-00011515	가능성이	가능/NNG + 성/XSN + 이/JKS
BTHO0397-00011516	높다	높/VA + 다/EC
BTHO0397-00011517	(그림	(/SS + 그림/NNG
BTHO0397-00011518	3-13	3/SN + -/SS + 13/SN
BTHO0397-00011519	참조).	참조/NNG + )/SS + ./SF
</p>
<p>
BTHO0397-00011520	하악	하악/NNG
BTHO0397-00011521	반사와	반사/NNG + 와/JKB
BTHO0397-00011522	더불어	더불/VV + 어/EC
BTHO0397-00011523	항상	항상/MAG
BTHO0397-00011524	턱의	턱/NNG + 의/JKG
BTHO0397-00011525	근육	근육/NNG
BTHO0397-00011526	상태	상태/NNG
BTHO0397-00011527	평가를	평가/NNG + 를/JKO
BTHO0397-00011528	검사할	검사/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00011529	필요가	필요/NNG + 가/JKS
BTHO0397-00011530	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00011531	측두부의	측두부/NNG + 의/JKG
BTHO0397-00011532	비대칭성	비/XPN + 대칭/NNG + 성/XSN
BTHO0397-00011533	유무,	유무/NNG + ,/SP
BTHO0397-00011534	턱의	턱/NNG + 의/JKG
BTHO0397-00011535	다문	다물/VV + ᆫ/ETM
BTHO0397-00011536	상태,	상태/NNG + ,/SP
BTHO0397-00011537	턱	턱/NNG
BTHO0397-00011538	근육의	근육/NNG + 의/JKG
BTHO0397-00011539	두께	두께/NNG
BTHO0397-00011540	및	및/MAG
BTHO0397-00011541	긴장성	긴장/NNG + 성/XSN
BTHO0397-00011542	등을	등/NNB + 을/JKO
BTHO0397-00011543	조사하고,	조사/NNG + 하/XSV + 고/EC + ,/SP
BTHO0397-00011544	측두근과	측두근/NNG + 과/JC
BTHO0397-00011545	교근을	교근/NNG + 을/JKO
BTHO0397-00011546	촉진한다.	촉진/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011547	또한	또한/MAG
BTHO0397-00011548	입	입/NNG
BTHO0397-00011549	벌리기를	벌리/VV + 기/ETN + 를/JKO
BTHO0397-00011550	시행하여	시행/NNG + 하/XSV + 아/EC
BTHO0397-00011551	익돌근이	익돌근/NNG + 이/JKS
BTHO0397-00011552	턱의	턱/NNG + 의/JKG
BTHO0397-00011553	하방	하방/NNG
BTHO0397-00011554	및	및/MAG
BTHO0397-00011555	내측	내측/NNG
BTHO0397-00011556	운동에	운동/NNG + 에/JKB
BTHO0397-00011557	작용하는	작용/NNG + 하/XSV + 는/ETM
BTHO0397-00011558	정도를	정도/NNG + 를/JKO
BTHO0397-00011559	평가한다.	평가/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011560	만약	만약/NNG
BTHO0397-00011561	한쪽이	한쪽/NNG + 이/JKS
BTHO0397-00011562	약화된	약화/NNG + 되/XSV + ᆫ/ETM
BTHO0397-00011563	경우라면	경우/NNG + 이/VCP + 라면/EC
BTHO0397-00011564	입을	입/NNG + 을/JKO
BTHO0397-00011565	벌리면	벌리/VV + 면/EC
BTHO0397-00011566	턱이	턱/NNG + 이/JKS
BTHO0397-00011567	동측성으로	동/NNG + 측/NNB + 성/XSN + 으로/JKB
BTHO0397-00011568	돌아간다.	돌아가/VV + ᆫ다/EF + ./SF
</p>
<head>
BTHO0397-00011569	(3)	(/SS + 3/SN + )/SS
BTHO0397-00011570	각막	각막/NNG
BTHO0397-00011571	반사	반사/NNG
BTHO0397-00011572	(corneal	(/SS + corneal/SL
BTHO0397-00011573	reflex)	reflex/SL + )/SS
</head>
<p>
BTHO0397-00011574	각막	각막/NNG
BTHO0397-00011575	반사란	반사/NNG + 란/JX
BTHO0397-00011576	각막에	각막/NNG + 에/JKB
BTHO0397-00011577	자극이	자극/NNG + 이/JKS
BTHO0397-00011578	가해지면	가하/VV + 아/EC + 지/VX + 면/EC
BTHO0397-00011579	눈	눈/NNG
BTHO0397-00011580	깜박임	깜박이/VV + ᄆ/ETN
BTHO0397-00011581	반응이	반응/NNG + 이/JKS
BTHO0397-00011582	양쪽	양쪽/NNG
BTHO0397-00011583	눈에서	눈/NNG + 에서/JKB
BTHO0397-00011584	일어나는	일어나/VV + 는/ETM
BTHO0397-00011585	현상을	현상/NNG + 을/JKO
BTHO0397-00011586	말한다.	말/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011587	이는	이/NP + 는/JX
BTHO0397-00011588	삼차	삼/NR + 차/NNB
BTHO0397-00011589	신경의	신경/NNG + 의/JKG
BTHO0397-00011590	안	안/MAG
BTHO0397-00011591	신경분지	신경/NNG + 분지/NNG
BTHO0397-00011592	구심성	구심/NNG + 성/XSN
BTHO0397-00011593	경로와	경로/NNG + 와/JC
BTHO0397-00011594	눈둘레근	눈/NNG + 둘레/NNG + 근/NNG
BTHO0397-00011595	(안륜근;	(/SS + 안륜근/NNG + ;/SP
BTHO0397-00011596	orbicu'laris	orbicu/SL + '/SW + laris/SL
BTHO0397-00011597	oculi)을	oculi/SL + )/SS + 을/JKO
BTHO0397-00011598	신경지배하는	신경/NNG + 지배/NNG + 하/XSV + 는/ETM
BTHO0397-00011599	안면	안면/NNG
BTHO0397-00011600	신경의	신경/NNG + 의/JKG
BTHO0397-00011601	운동	운동/NNG
BTHO0397-00011602	신경	신경/NNG
BTHO0397-00011603	원심성	원심/NNG + 성/XSN
BTHO0397-00011604	경로를	경로/NNG + 를/JKO
BTHO0397-00011605	동시에	동시/NNG + 에/JKB
BTHO0397-00011606	평가할	평가/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00011607	수	수/NNB
BTHO0397-00011608	있는	있/VV + 는/ETM
BTHO0397-00011609	객관적	객관/NNG + 적/XSN
BTHO0397-00011610	검사가	검사/NNG + 가/JKC
BTHO0397-00011611	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011612	각막	각막/NNG
BTHO0397-00011613	검사의	검사/NNG + 의/JKG
BTHO0397-00011614	방법은	방법/NNG + 은/JX
BTHO0397-00011615	환자의	환자/NNG + 의/JKG
BTHO0397-00011616	시야	시야/NNG
BTHO0397-00011617	밖에서부터	밖/NNG + 에서부터/JKB
BTHO0397-00011618	시작하여	시작/NNG + 하/XSV + 아/EC
BTHO0397-00011619	각막에	각막/NNG + 에/JKB
BTHO0397-00011620	이르도록	이르/VV + 도록/EC
BTHO0397-00011621	조심스럽게	조심/NNG + 스럽/XSA + 게/EC
BTHO0397-00011622	접근하여야	접근/NNG + 하/XSV + 아야/EC
BTHO0397-00011623	하며,	하/VX + 며/EC + ,/SP
BTHO0397-00011624	반사	반사/NNG
BTHO0397-00011625	반응을	반응/NNG + 을/JKO
BTHO0397-00011626	조사하기	조사/NNG + 하/XSV + 기/ETN
BTHO0397-00011627	위해	위하/VV + 아/EC
BTHO0397-00011628	흔히	흔히/MAG
BTHO0397-00011629	멸균된	멸균/NNG + 되/XSV + ᆫ/ETM
BTHO0397-00011630	솜뭉치를	솜뭉치/NNG + 를/JKO
BTHO0397-00011631	사용한다	사용/NNG + 하/XSV + ᆫ다/EC
BTHO0397-00011632	(그림	(/SS + 그림/NNG
BTHO0397-00011633	3-14	3/SN + -/SS + 14/SN
BTHO0397-00011634	참조).	참조/NNG + )/SS + ./SF
</p>
<head>
BTHO0397-00011635	3)	3/SN + )/SS
BTHO0397-00011636	삼차	삼/NR + 차/NNB
BTHO0397-00011637	신경통	신경통/NNG
BTHO0397-00011638	(Trigeminal	(/SS + Trigeminal/SL
BTHO0397-00011639	neuralgia)	neuralgia/SL + )/SS
</head>
<p>
BTHO0397-00011640	삼차	삼/NR + 차/NNB
BTHO0397-00011641	신경들이	신경/NNG + 들/XSN + 이/JKS
BTHO0397-00011642	분포하는	분포/NNG + 하/XSV + 는/ETM
BTHO0397-00011643	영역인	영역/NNG + 이/VCP + ᆫ/ETM
BTHO0397-00011644	안면에서	안면/NNG + 에서/JKB
BTHO0397-00011645	예리하고,	예리/XR + 하/XSA + 고/EC + ,/SP
BTHO0397-00011646	칼로	칼/NNG + 로/JKB
BTHO0397-00011647	찌르는	찌르/VV + 는/ETM
BTHO0397-00011648	듯하며,	듯/NNB + 하/XSA + 며/EC + ,/SP
BTHO0397-00011649	갑작스런	갑작스럽/VA + ᆫ/ETM
BTHO0397-00011650	매우	매우/MAG
BTHO0397-00011651	심한	심하/VA + ᆫ/ETM
BTHO0397-00011652	통증이	통증/NNG + 이/JKS
BTHO0397-00011653	발생하는	발생/NNG + 하/XSV + 는/ETM
BTHO0397-00011654	경우로서,	경우/NNG + 로서/JKB + ,/SP
BTHO0397-00011655	비교적	비교/NNG + 적/XSN
BTHO0397-00011656	짧은	짧/VA + 은/ETM
BTHO0397-00011657	순간	순간/NNG
BTHO0397-00011658	일어나는	일어나/VV + 는/ETM
BTHO0397-00011659	원인	원인/NNG + ,/SP
BTHO0397-00011660	불명의	불명/NNG + 의/JKG
BTHO0397-00011661	삼차	삼/NR + 차/NNB
BTHO0397-00011662	신경	신경/NNG
BTHO0397-00011663	장애를	장애/NNG + 를/JKO
BTHO0397-00011664	말한다.	말/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011665	이는	이/NP + 는/JX
BTHO0397-00011666	특히	특히/MAG
BTHO0397-00011667	자극에	자극/NNG + 에/JKB
BTHO0397-00011668	민감하여	민감/XR + 하/XSA + 아/EC
BTHO0397-00011669	심한	심하/VA + ᆫ/ETM
BTHO0397-00011670	발작성	발작/NNG + 성/XSN
BTHO0397-00011671	통증이	통증/NNG + 이/JKS
BTHO0397-00011672	발생한다하여	발생/NNG + 하/XSV + ᆫ다/EC + 하/VX + 아/EC
BTHO0397-00011673	'동통성	'/SS + 동통/NNG + 성/XSN
BTHO0397-00011674	티크	티크/NNG
BTHO0397-00011675	(Tic	(/SS + Tic/SL
BTHO0397-00011676	Douloureux)'라고도	Douloureux/SL + )/SS + '/SS + 라고/JKQ + 도/JX
BTHO0397-00011677	불리웠으나	불리우/VV + 었/EP + 으나/EC
BTHO0397-00011678	지금은	지금/NNG + 은/JX
BTHO0397-00011679	흔히	흔히/MAG
BTHO0397-00011680	'삼차	'/SS + 삼/NR + 차/NNB
BTHO0397-00011681	신경통	신경통/NNG
BTHO0397-00011682	(trige'minal	(/SS + trige/SL + '/SW + minal/SL
BTHO0397-00011683	neuralgia)'라는	neuralgia/SL + )/SS + '/SS + 이/VCP + 라는/ETM
BTHO0397-00011684	용어로	용어/NNG + 로/JKB
BTHO0397-00011685	사용된다.	사용/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011686	주로	주로/MAG
BTHO0397-00011687	통증	통증/NNG
BTHO0397-00011688	부위는	부위/NNG + 는/JX
BTHO0397-00011689	상악	상악/NNG
BTHO0397-00011690	신경분지	신경/NNG + 분지/NNG
BTHO0397-00011691	(제	(/SS + 제/NNG
BTHO0397-00011692	2	2/SN
BTHO0397-00011693	신경분지;	신경/NNG + 분지/NNG + ;/SP
BTHO0397-00011694	V2)나	V/SL + 2/SN + )/SS + 나/JC
BTHO0397-00011695	혹은	혹은/MAG
BTHO0397-00011696	하악	하악/NNG
BTHO0397-00011697	신경분지	신경/NNG + 분지/NNG
BTHO0397-00011698	(제	(/SS + 제/NNG
BTHO0397-00011699	3	3/SN
BTHO0397-00011700	신경분지;	신경/NNG + 분지/NNG + ;/SP
BTHO0397-00011701	V3)	V/SL + 3/SN + )/SS
BTHO0397-00011702	분포에서	분포/NNG + 에서/JKB
BTHO0397-00011703	잘	잘/MAG
BTHO0397-00011704	발생하며,	발생/NNG + 하/XSV + 며/EC + ,/SP
BTHO0397-00011705	대개는	대개/NNG + 는/JX
BTHO0397-00011706	일측성으로,	일/NR + 측/NNB + 성/NNG + 으로/JKB + ,/SP
BTHO0397-00011707	남자보다는	남자/NNG + 보다/JKB + 는/JX
BTHO0397-00011708	여자에서,	여자/NNG + 에서/JKB + ,/SP
BTHO0397-00011709	청년기보다는	청년기/NNG + 보다/JKB + 는/JX
BTHO0397-00011710	40대	40/SN + 대/NNB
BTHO0397-00011711	이후의	이후/NNG + 의/JKG
BTHO0397-00011712	중년기	중년기/NNG
BTHO0397-00011713	이후에서	이후/NNG + 에서/JKB
BTHO0397-00011714	흔히	흔히/MAG
BTHO0397-00011715	발병한다.	발병/NNG + 하/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00011716	통증은	통증/NNG + 은/JX
BTHO0397-00011717	수초에서	수초/NNG + 에서/JKB
BTHO0397-00011718	수분을	수분/NNG + 을/JKO
BTHO0397-00011719	경과하는	경과/NNG + 하/XSV + 는/ETM
BTHO0397-00011720	발작성	발작/NNG + 성/XSN
BTHO0397-00011721	형태로서	형태/NNG + 로서/JKB
BTHO0397-00011722	자극에	자극/NNG + 에/JKB
BTHO0397-00011723	민감한	민감/XR + 하/XSA + ᆫ/ETM
BTHO0397-00011724	촉발	촉발/NNG
BTHO0397-00011725	지역	지역/NNG
BTHO0397-00011726	(triggering	(/SS + triggering/SL
BTHO0397-00011727	zone)이	zone/SL + )/SS + 이/JKS
BTHO0397-00011728	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00011729	만약	만약/NNG
BTHO0397-00011730	젊은	젊/VA + 은/ETM
BTHO0397-00011731	사람에서	사람/NNG + 에서/JKB
BTHO0397-00011732	발병한	발병/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00011733	경우라면	경우/NNG + 이/VCP + 라면/EC
BTHO0397-00011734	동맥류,	동맥류/NNG + ,/SP
BTHO0397-00011735	뇌간	뇌간/NNG
BTHO0397-00011736	종양	종양/NNG
BTHO0397-00011737	혹은	혹은/MAG
BTHO0397-00011738	다발성	다발/NNG + 성/XSN
BTHO0397-00011739	경화증	경화증/NNG
BTHO0397-00011740	등을	등/NNB + 을/JKO
BTHO0397-00011741	감별할	감별/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00011742	필요가	필요/NNG + 가/JKS
BTHO0397-00011743	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00011744	치료에	치료/NNG + 에/JKB
BTHO0397-00011745	있어서는	있/VV + 어서/EC + 는/JX
BTHO0397-00011746	우선	우선/MAG
BTHO0397-00011747	일차적으로	일차/NNG + 적/XSN + 으로/JKB
BTHO0397-00011748	약물	약물/NNG
BTHO0397-00011749	치료가	치료/NNG + 가/JKS
BTHO0397-00011750	최선이다.	최선/NNG + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00011751	가장	가장/MAG
BTHO0397-00011752	효과적인	효과/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00011753	약물로는	약물/NNG + 로/JKB + 는/JX
BTHO0397-00011754	카르바마제핀	카르바마제핀/NNG
BTHO0397-00011755	(carbamazepine)이	(/SS + carbamazepine/SL + )/SS + 이/JKS
BTHO0397-00011756	있으며,	있/VV + 으며/EC + ,/SP
BTHO0397-00011757	간혹	간혹/MAG
BTHO0397-00011758	페니토인	페니토인/NNG
BTHO0397-00011759	(phenytoin)	(/SS + phenytoin/SL + )/SS
BTHO0397-00011760	혹은	혹은/MAG
BTHO0397-00011761	크로나제팜	크로나제팜/NNG
BTHO0397-00011762	(clonazepam)이	(/SS + clonazepam/SL + )/SS + 이/JKS
BTHO0397-00011763	사용될	사용/NNG + 되/XSV + ᆯ/ETM
BTHO0397-00011764	수도	수/NNB + 도/JX
BTHO0397-00011765	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00011766	이	이/MM
BTHO0397-00011767	밖의	밖/NNG + 의/JKG
BTHO0397-00011768	치료법으로	치료법/NNG + 으로/JKB
BTHO0397-00011769	삼차	삼/NR + 차/NNB
BTHO0397-00011770	신경	신경/NNG
BTHO0397-00011771	절제술이	절제술/NNG + 이/JKS
BTHO0397-00011772	과거에	과거/NNG + 에/JKB
