<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00004914	국가에	국가/NNG + 에/JKB
BTHO0394-00004915	이익이	이익/NNG + 이/JKC
BTHO0394-00004916	되는	되/VV + 는/ETM
BTHO0394-00004917	프로그램에	프로그램/NNG + 에/JKB
BTHO0394-00004918	사용되고	사용/NNG + 되/XSV + 고/EC
BTHO0394-00004919	있다."	있/VX + 다/EF + ./SF + "/SS
</p>
<p>
BTHO0394-00004920	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00004921	정부의	정부/NNG + 의/JKG
BTHO0394-00004922	정책방향은	정책/NNG + 방향/NNG + 은/JX
BTHO0394-00004923	미국	미국/NNP
BTHO0394-00004924	하원의	하원/NNG + 의/JKG
BTHO0394-00004925	과학위원회(Committee	과학/NNG + 위원회/NNG + (/SS + Committee/SL
BTHO0394-00004926	on	on/SL
BTHO0394-00004927	Science,	Science/SL + ,/SP
BTHO0394-00004928	U.S.House	U/SL + ./SP + S/SL + ./SP + House/SL
BTHO0394-00004929	of	of/SL
BTHO0394-00004930	Representatives)가	Representatives/SL + )/SS + 가/JKS
BTHO0394-00004931	발표한	발표/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00004932	과학정책을	과학/NNG + 정책/NNG + 을/JKO
BTHO0394-00004933	통해서도	통하/VV + 아서/EC + 도/JX
BTHO0394-00004934	살펴볼	살펴보/VV + ᆯ/ETM
BTHO0394-00004935	수	수/NNB
BTHO0394-00004936	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0394-00004937	과학위원회는	과학/NNG + 위원회/NNG + 는/JX
BTHO0394-00004938	1998년	1998/SN + 년/NNB
BTHO0394-00004939	「Unlocking	「/SS + Unlocking/SL
BTHO0394-00004940	Our	Our/SL
BTHO0394-00004941	Future:	Future/SL + :/SP
BTHO0394-00004942	Toward	Toward/SL
BTHO0394-00004943	a	a/SL
BTHO0394-00004944	New	New/SL
BTHO0394-00004945	National	National/SL
BTHO0394-00004946	Science	Science/SL
BTHO0394-00004947	Policy」를	Policy/SL + 」/SS + 를/JKO
BTHO0394-00004948	통해	통하/VV + 아/EC
BTHO0394-00004949	과학정책에	과학/NNG + 정책/NNG + 에/JKB
BTHO0394-00004950	대한	대하/VV + ᆫ/ETM
BTHO0394-00004951	기본적인	기본/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00004952	방향을	방향/NNG + 을/JKO
BTHO0394-00004953	제시하였다.	제시/NNG + 하/XSV + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00004954	이	이/MM
BTHO0394-00004955	보고서는	보고서/NNG + 는/JX
BTHO0394-00004956	다음과	다음/NNG + 과/JKB
BTHO0394-00004957	같은	같/VA + 은/ETM
BTHO0394-00004958	세	세/MM
BTHO0394-00004959	가지	가지/NNB
BTHO0394-00004960	요소의	요소/NNG + 의/JKG
BTHO0394-00004961	강화를	강화/NNG + 를/JKO
BTHO0394-00004962	제안하고	제안/NNG + 하/XSV + 고/EC
BTHO0394-00004963	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00004964	첫째,	첫째/NR + ,/SP
BTHO0394-00004965	기초연구의	기초/NNG + 연구/NNG + 의/JKG
BTHO0394-00004966	진보를	진보/NNG + 를/JKO
BTHO0394-00004967	지원하고	지원/NNG + 하/XSV + 고/EC
BTHO0394-00004968	조장함으로써	조장/NNG + 하/XSV + ᄆ/ETN + 으로써/JKB
BTHO0394-00004969	과학적	과학/NNG + 적/XSN
BTHO0394-00004970	발견이	발견/NNG + 이/JKS
BTHO0394-00004971	지속되도록	지속/NNG + 되/XSV + 도록/EC
BTHO0394-00004972	해야	하/VX + 아야/EC
BTHO0394-00004973	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00004974	둘째,	둘째/NR + ,/SP
BTHO0394-00004975	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00004976	지속적인	지속/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00004977	과학적	과학/NNG + 적/XSN
BTHO0394-00004978	발견이	발견/NNG + 이/JKS
BTHO0394-00004979	사장되어서는	사장/NNG + 되/XSV + 어서/EC + 는/JX
BTHO0394-00004980	안	안/MAG
BTHO0394-00004981	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00004982	즉,	즉/MAG + ,/SP
BTHO0394-00004983	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00004984	발견은	발견/NNG + 은/JX
BTHO0394-00004985	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00004986	상품과	상품/NNG + 과/JC
BTHO0394-00004987	공정의	공정/NNG + 의/JKG
BTHO0394-00004988	발전에	발전/NNG + 에/JKB
BTHO0394-00004989	응용되어야	응용/NNG + 되/XSV + 어야/EC
BTHO0394-00004990	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00004991	셋째,	셋째/NR + ,/SP
BTHO0394-00004992	과학기술에	과학/NNG + 기술/NNG + 에/JKB
BTHO0394-00004993	대한	대하/VV + ᆫ/ETM
BTHO0394-00004994	교육을	교육/NNG + 을/JKO
BTHO0394-00004995	강화하고	강화/NNG + 하/XSV + 고/EC
BTHO0394-00004996	과학기술의	과학/NNG + 기술/NNG + 의/JKG
BTHO0394-00004997	대	대/NNG
BTHO0394-00004998	국민	국민/NNG
BTHO0394-00004999	이해를	이해/NNG + 를/JKO
BTHO0394-00005000	촉진하여야	촉진/NNG + 하/XSV + 아야/EC
BTHO0394-00005001	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005002	여기서는	여기/NP + 서/JKB + 는/JX
BTHO0394-00005003	이중	이/MM + 중/NNB
BTHO0394-00005004	첫	첫/MM
BTHO0394-00005005	번째	번/NNB + 째/XSN
BTHO0394-00005006	제안에	제안/NNG + 에/JKB
BTHO0394-00005007	대해서만	대하/VV + 아서/EC + 만/JX
BTHO0394-00005008	살펴보도록	살펴보/VV + 도록/EC
BTHO0394-00005009	하자.	하/VX + 자/EF + ./SF
</p>
<p>
BTHO0394-00005010	다음의	다음/NNG + 의/JKG
BTHO0394-00005011	box안에	box/SL + 안/NNG + 에/JKB
BTHO0394-00005012	있는	있/VV + 는/ETM
BTHO0394-00005013	부분이	부분/NNG + 이/JKS
BTHO0394-00005014	보고서의	보고서/NNG + 의/JKG
BTHO0394-00005015	내용	내용/NNG
BTHO0394-00005016	중	중/NNB
BTHO0394-00005017	첫	첫/MM
BTHO0394-00005018	번째	번/NNB + 째/XSN
BTHO0394-00005019	제안에	제안/NNG + 에/JKB
BTHO0394-00005020	관한	관하/VV + ᆫ/ETM
BTHO0394-00005021	내용을	내용/NNG + 을/JKO
BTHO0394-00005022	요약한	요약/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00005023	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005024	첫째,	첫째/NR + ,/SP
BTHO0394-00005025	기초연구의	기초/NNG + 연구/NNG + 의/JKG
BTHO0394-00005026	진보를	진보/NNG + 를/JKO
BTHO0394-00005027	지원하고	지원/NNG + 하/XSV + 고/EC
BTHO0394-00005028	조장함으로써	조장/NNG + 하/XSV + ᄆ/ETN + 으로써/JKB
BTHO0394-00005029	과학적	과학/NNG + 적/XSN
BTHO0394-00005030	발견이	발견/NNG + 이/JKS
BTHO0394-00005031	지속되도록	지속/NNG + 되/XSV + 도록/EC
BTHO0394-00005032	하여야	하/VX + 아야/EC
BTHO0394-00005033	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005034	-	-/SS
BTHO0394-00005035	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00005036	아이디어의	아이디어/NNG + 의/JKG
BTHO0394-00005037	흐름을	흐름/NNG + 을/JKO
BTHO0394-00005038	보장하기	보장/NNG + 하/XSV + 기/ETN
BTHO0394-00005039	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00005040	순수기초연구(understanding-driven	순수/NNG + 기초/NNG + 연구/NNG + (/SS + understanding/SL + -/SS + driven/SL
BTHO0394-00005041	research)가	research/SL + )/SS + 가/JKS
BTHO0394-00005042	중요하다	중요/NNG + 하/XSA + 다/EC
</p>
<p>
BTHO0394-00005043	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005044	대한	대하/VV + ᆫ/ETM
BTHO0394-00005045	투자	투자/NNG
BTHO0394-00005046	:	:/SP
BTHO0394-00005047	과학사업(science	과학/NNG + 사업/NNG + (/SS + science/SL
BTHO0394-00005048	enterprise)은	enterprise/SL + )/SS + 은/JX
BTHO0394-00005049	국가	국가/NNG
BTHO0394-00005050	경제의	경제/NNG + 의/JKG
BTHO0394-00005051	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005052	견인차이며	견인차/NNG + 이/VCP + 며/EC
BTHO0394-00005053	기초과학연구(basic	기초/NNG + 과학/NNG + 연구/NNG + (/SS + basic/SL
BTHO0394-00005054	scientific	scientific/SL
BTHO0394-00005055	research)는	research/SL + )/SS + 는/JX
BTHO0394-00005056	장기적인	장기/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00005057	경제발전을	경제/NNG + 발전/NNG + 을/JKO
BTHO0394-00005058	위해	위하/VV + 아/EC
BTHO0394-00005059	필수적이다.	필수/NNG + 적/XSN + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005060	국가의	국가/NNG + 의/JKG
BTHO0394-00005061	국제경쟁력을	국제/NNG + 경쟁력/NNG + 을/JKO
BTHO0394-00005062	유지하기	유지/NNG + 하/XSV + 기/ETN
BTHO0394-00005063	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00005064	의회가	의회/NNG + 가/JKS
BTHO0394-00005065	우선순위를	우선순위/NNG + 를/JKO
BTHO0394-00005066	가지고	가지/VV + 고/EC
BTHO0394-00005067	기초과학연구에	기초/NNG + 과학/NNG + 연구/NNG + 에/JKB
BTHO0394-00005068	대한	대하/VV + ᆫ/ETM
BTHO0394-00005069	연방정부의	연방/NNG + 정부/NNG + 의/JKG
BTHO0394-00005070	투자를	투자/NNG + 를/JKO
BTHO0394-00005071	안정적으로	안정/NNG + 적/XSN + 으로/JKB
BTHO0394-00005072	충분히	충분히/MAG
BTHO0394-00005073	확보하여야	확보/NNG + 하/XSV + 아야/EC
BTHO0394-00005074	한다	하/VX + ᆫ다/EC
</p>
<p>
BTHO0394-00005075	제한된	제한/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005076	연방자원의	연방/NNG + 자원/NNG + 의/JKG
BTHO0394-00005077	선택	선택/NNG
BTHO0394-00005078	:	:/SP
BTHO0394-00005079	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005080	대한	대하/VV + ᆫ/ETM
BTHO0394-00005081	투자에	투자/NNG + 에/JKB
BTHO0394-00005082	있어서	있/VV + 어서/EC
BTHO0394-00005083	연방정부의	연방/NNG + 정부/NNG + 의/JKG
BTHO0394-00005084	역할을	역할/NNG + 을/JKO
BTHO0394-00005085	누구도	누구/NP + 도/JX
BTHO0394-00005086	대신할	대신/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00005087	수	수/NNB
BTHO0394-00005088	없으므로,	없/VA + 으므로/EC + ,/SP
BTHO0394-00005089	연방연구자금의	연방/NNG + 연구/NNG + 자금/NNG + 의/JKG
BTHO0394-00005090	우선	우선/MAG
BTHO0394-00005091	순위는	순위/NNG + 는/JX
BTHO0394-00005092	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005093	두어져야	두/VV + 어/EC + 지/VX + 어야/EC
BTHO0394-00005094	한다	하/VX + ᆫ다/EC
</p>
<p>
BTHO0394-00005095	연구사업에	연구/NNG + 사업/NNG + 에/JKB
BTHO0394-00005096	있어서	있/VV + 어서/EC
BTHO0394-00005097	개인연구자의	개인/NNG + 연구자/NNG + 의/JKG
BTHO0394-00005098	역할	역할/NNG
BTHO0394-00005099	:	:/SP
BTHO0394-00005100	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005101	있어서	있/VV + 어서/EC
BTHO0394-00005102	개인연구자의	개인/NNG + 연구자/NNG + 의/JKG
BTHO0394-00005103	역할은	역할/NNG + 은/JX
BTHO0394-00005104	매우	매우/MAG
BTHO0394-00005105	중요하다.	중요/NNG + 하/XSA + 다/EF + ./SF
</p>
<p>
BTHO0394-00005106	각	각/MM
BTHO0394-00005107	개인은	개인/NNG + 은/JX
BTHO0394-00005108	기초연구를	기초/NNG + 연구/NNG + 를/JKO
BTHO0394-00005109	수행하여	수행/NNG + 하/XSV + 아/EC
BTHO0394-00005110	과학적	과학/NNG + 적/XSN
BTHO0394-00005111	이해의	이해/NNG + 의/JKG
BTHO0394-00005112	영역을	영역/NNG + 을/JKO
BTHO0394-00005113	확장시키는	확장/NNG + 시키/XSV + 는/ETM
BTHO0394-00005114	역할을	역할/NNG + 을/JKO
BTHO0394-00005115	해야	하/VV + 아야/EC
BTHO0394-00005116	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005117	이를	이/NP + 를/JKO
BTHO0394-00005118	위해	위하/VV + 아/EC
BTHO0394-00005119	연방정부는	연방/NNG + 정부/NNG + 는/JX
BTHO0394-00005120	연구비에	연구비/NNG + 에/JKB
BTHO0394-00005121	간접비를	간접비/NNG + 를/JKO
BTHO0394-00005122	포함하고,	포함/NNG + 하/XSV + 고/EC + ,/SP
BTHO0394-00005123	순수기초연구를	순수/NNG + 기초/NNG + 연구/NNG + 를/JKO
BTHO0394-00005124	지원하기	지원/NNG + 하/XSV + 기/ETN
BTHO0394-00005125	위해	위하/VV + 아/EC
BTHO0394-00005126	각	각/MM
BTHO0394-00005127	연구기관에	연구/NNG + 기관/NNG + 에/JKB
BTHO0394-00005128	있는	있/VV + 는/ETM
BTHO0394-00005129	전문가를	전문가/NNG + 를/JKO
BTHO0394-00005130	활용한	활용/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00005131	동료평가(peer-review)를	동료/NNG + 평가/NNG + (/SS + peer/SL + -/SS + review/SL + )/SS + 를/JKO
BTHO0394-00005132	사용해야	사용/NNG + 하/XSV + 아야/EC
BTHO0394-00005133	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005134	기초연구에서의	기초/NNG + 연구/NNG + 에서/JKB + 의/JKG
BTHO0394-00005135	혁신촉진	혁신/NNG + 촉진/NNG
BTHO0394-00005136	:	:/SP
BTHO0394-00005137	기초연구에	기초/NNG + 연구/NNG + 에/JKB
BTHO0394-00005138	있어서	있/VV + 어서/EC
BTHO0394-00005139	혁신과	혁신/NNG + 과/JC
BTHO0394-00005140	창의성은	창의/NNG + 성/XSN + 은/JX
BTHO0394-00005141	필수적이므로	필수/NNG + 적/XSN + 이/VCP + 므로/EC
BTHO0394-00005142	연방정부는	연방/NNG + 정부/NNG + 는/JX
BTHO0394-00005143	자금의	자금/NNG + 의/JKG
BTHO0394-00005144	배분에	배분/NNG + 에/JKB
BTHO0394-00005145	있어서	있/VV + 어서/EC
BTHO0394-00005146	특히	특히/MAG
BTHO0394-00005147	창의적이고	창의/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005148	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00005149	지평을	지평/NNG + 을/JKO
BTHO0394-00005150	여는	열/VV + 는/ETM
BTHO0394-00005151	연구에	연구/NNG + 에/JKB
BTHO0394-00005152	대해	대하/VV + 아/EC
BTHO0394-00005153	일부의	일부/NNG + 의/JKG
BTHO0394-00005154	자금을	자금/NNG + 을/JKO
BTHO0394-00005155	특별히	특별히/MAG
BTHO0394-00005156	배려하여야	배려/NNG + 하/XSV + 아야/EC
BTHO0394-00005157	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005158	이를	이/NP + 를/JKO
BTHO0394-00005159	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00005160	동료평가방식에	동료/NNG + 평가/NNG + 방식/NNG + 에/JKB
BTHO0394-00005161	기초한	기초/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00005162	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00005163	평가시스템이	평가/NNG + 시스템/NNG + 이/JKS
BTHO0394-00005164	필요한데,	필요/NNG + 하/XSA + ᆫ데/EC + ,/SP
BTHO0394-00005165	여기서는	여기/NP + 서/JKB + 는/JX
BTHO0394-00005166	제안된	제안/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005167	연구의	연구/NNG + 의/JKG
BTHO0394-00005168	모험적	모험/NNG + 적/XSN
BTHO0394-00005169	성격을	성격/NNG + 을/JKO
BTHO0394-00005170	고려하여야	고려/NNG + 하/XSV + 아야/EC
BTHO0394-00005171	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005172	기초연구의	기초/NNG + 연구/NNG + 의/JKG
BTHO0394-00005173	구성(기초연구비의	구성/NNG + (/SS + 기초/NNG + 연구비/NNG + 의/JKG
BTHO0394-00005174	분야별	분야/NNG + 별/XSN
BTHO0394-00005175	구성)에	구성/NNG + )/SS + 에/JKB
BTHO0394-00005176	있어서	있/VV + 어서/EC
BTHO0394-00005177	다양성의	다양/NNG + 성/XSN + 의/JKG
BTHO0394-00005178	유지	유지/NNG
BTHO0394-00005179	:	:/SP
BTHO0394-00005180	연방정부가	연방/NNG + 정부/NNG + 가/JKS
BTHO0394-00005181	기초연구를	기초/NNG + 연구/NNG + 를/JKO
BTHO0394-00005182	지원함에	지원/NNG + 하/XSV + ᄆ/ETN + 에/JKB
BTHO0394-00005183	있어서	있/VV + 어서/EC
BTHO0394-00005184	모든	모든/MM
BTHO0394-00005185	학문분야의	학문/NNG + 분야/NNG + 의/JKG
BTHO0394-00005186	연구를	연구/NNG + 를/JKO
BTHO0394-00005187	광범위하게	광범위/NNG + 하/XSA + 게/EC
BTHO0394-00005188	지원하는	지원/NNG + 하/XSV + 는/ETM
BTHO0394-00005189	것은	것/NNB + 은/JX
BTHO0394-00005190	매우	매우/MAG
BTHO0394-00005191	중요하며,	중요/NNG + 하/XSA + 며/EC + ,/SP
BTHO0394-00005192	일부	일부/NNG
BTHO0394-00005193	분야나	분야/NNG + 나/JC
BTHO0394-00005194	혹은	혹은/MAG
BTHO0394-00005195	일부	일부/NNG
BTHO0394-00005196	분야에만	분야/NNG + 에/JKB + 만/JX
BTHO0394-00005197	관련된	관련/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005198	과도한	과도/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00005199	강조는	강조/NNG + 는/JX
BTHO0394-00005200	배제되어야	배제/NNG + 되/XSV + 어야/EC
BTHO0394-00005201	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005202	또한,	또한/MAG + ,/SP
BTHO0394-00005203	학제연구(inter-disciplinary)에	학제/NNG + 연구/NNG + (/SS + inter/SL + -/SS + disciplinary/SL + )/SS + 에/JKB
BTHO0394-00005204	대한	대하/VV + ᆫ/ETM
BTHO0394-00005205	지원이	지원/NNG + 이/JKS
BTHO0394-00005206	쉽게	쉽/VA + 게/EC
BTHO0394-00005207	이루어질	이루어지/VV + ᆯ/ETM
BTHO0394-00005208	수	수/NNB
BTHO0394-00005209	있도록	있/VV + 도록/EC
BTHO0394-00005210	해야	하/VX + 아야/EC
BTHO0394-00005211	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005212	-	-/SS
BTHO0394-00005213	과학은	과학/NNG + 은/JX
BTHO0394-00005214	사회에	사회/NNG + 에/JKB
BTHO0394-00005215	기여해야	기여/NNG + 하/XSV + 아야/EC
BTHO0394-00005216	한다(Science	하/VX + ᆫ다/EC + (/SS + Science/SL
BTHO0394-00005217	for	for/SL
BTHO0394-00005218	Society)	Society/SL + )/SS
</p>
<p>
BTHO0394-00005219	·연방정부가	·/SP + 연방/NNG + 정부/NNG + 가/JKS
BTHO0394-00005220	지원하는	지원/NNG + 하/XSV + 는/ETM
BTHO0394-00005221	순수기초연구는	순수/NNG + 기초/NNG + 연구/NNG + 는/JX
BTHO0394-00005222	연방정부	연방/NNG + 정부/NNG
BTHO0394-00005223	연구비의	연구비/NNG + 의/JKG
BTHO0394-00005224	제한된	제한/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005225	부분에	부분/NNG + 에/JKB
BTHO0394-00005226	국한된다.	국한/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005227	많은	많/VA + 은/ETM
BTHO0394-00005228	연방정부	연방/NNG + 정부/NNG
BTHO0394-00005229	연구비는	연구비/NNG + 는/JX
BTHO0394-00005230	정확히	정확히/MAG
BTHO0394-00005231	표현하면	표현/NNG + 하/XSV + 면/EC
BTHO0394-00005232	'목적기초연구(targeted	'/SS + 목적/NNG + 기초/NNG + 연구/NNG + (/SS + targeted/SL
BTHO0394-00005233	basic	basic/SL
BTHO0394-00005234	research)'이다.	research/SL + )/SS + '/SS + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005235	·우리는	·/SP + 우리/NP + 는/JX
BTHO0394-00005236	통상적으로	통상/NNG + 적/XSN + 으로/JKB
BTHO0394-00005237	기초연구가	기초/NNG + 연구/NNG + 가/JKS
BTHO0394-00005238	현실적인	현실/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00005239	편익(사용)을	편익/NNG + (/SS + 사용/NNG + )/SS + 을/JKO
BTHO0394-00005240	고려하지	고려/NNG + 하/XSV + 지/EC
BTHO0394-00005241	않고	않/VX + 고/EC
BTHO0394-00005242	상아탑에서	상아탑/NNG + 에서/JKB
BTHO0394-00005243	수행된다고	수행/NNG + 되/XSV + ᆫ다고/EC
BTHO0394-00005244	잘못	잘못/MAG
BTHO0394-00005245	인식하고	인식/NNG + 하/XSV + 고/EC
BTHO0394-00005246	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00005247	이와는	이/NP + 와/JKB + 는/JX
BTHO0394-00005248	반대로,	반대/NNG + 로/JKB + ,/SP
BTHO0394-00005249	미국의	미국/NNP + 의/JKG
BTHO0394-00005250	기초연구는	기초/NNG + 연구/NNG + 는/JX
BTHO0394-00005251	'나중단계에서의	'/SS + 나중/NNG + 단계/NNG + 에서/JKB + 의/JKG
BTHO0394-00005252	적응을	적응/NNG + 을/JKO
BTHO0394-00005253	매우	매우/MAG
BTHO0394-00005254	중요하게	중요/NNG + 하/XSA + 게/EC
BTHO0394-00005255	고려한	고려/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00005256	기초지식'을	기초/NNG + 지식/NNG + '/SS + 을/JKO
BTHO0394-00005257	일관성	일관/NNG + 성/XSN
BTHO0394-00005258	있게	있/VV + 게/EC
BTHO0394-00005259	추구하여	추구/NNG + 하/XSV + 아/EC
BTHO0394-00005260	왔다.	오/VX + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00005261	·임무	·/SP + 임무/NNG
BTHO0394-00005262	지향적	지향/NNG + 적/XSN
BTHO0394-00005263	연구	연구/NNG
BTHO0394-00005264	:	:/SP
BTHO0394-00005265	연방기관,	연방/NNG + 기관/NNG + ,/SP
BTHO0394-00005266	연구소	연구소/NNG
BTHO0394-00005267	등의	등/NNB + 의/JKG
BTHO0394-00005268	연구개발은	연구/NNG + 개발/NNG + 은/JX
BTHO0394-00005269	각	각/MM
BTHO0394-00005270	기관,	기관/NNG + ,/SP
BTHO0394-00005271	부처,	부처/NNG + ,/SP
BTHO0394-00005272	연구소의	연구소/NNG + 의/JKG
BTHO0394-00005273	임무와	임무/NNG + 와/JC
BTHO0394-00005274	밀접하게	밀접/NNG + 하/XSA + 게/EC
BTHO0394-00005275	관련된	관련/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00005276	핵심적	핵심/NNG + 적/XSN
BTHO0394-00005277	프로그램에	프로그램/NNG + 에/JKB
BTHO0394-00005278	초점을	초점/NNG + 을/JKO
BTHO0394-00005279	맞추어야	맞추/VV + 어야/EC
BTHO0394-00005280	되는데,	되/VV + 는데/EC + ,/SP
BTHO0394-00005281	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0394-00005282	핵심적	핵심/NNG + 적/XSN
BTHO0394-00005283	프로그램은	프로그램/NNG + 은/JX
BTHO0394-00005284	장기적이고	장기/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005285	위험성이	위험/NNG + 성/XSN + 이/JKS
BTHO0394-00005286	높으며	높/VA + 으며/EC
BTHO0394-00005287	비상업적이고	비/XPN + 상업/NNG + 적/XSN + 이/VCP + 고/EC
BTHO0394-00005288	동시에	동시/NNG + 에/JKB
BTHO0394-00005289	과학적	과학/NNG + 적/XSN
BTHO0394-00005290	발견을	발견/NNG + 을/JKO
BTHO0394-00005291	위해	위하/VV + 아/EC
BTHO0394-00005292	커다란	커다랗/VA + ᆫ/ETM
BTHO0394-00005293	잠재력을	잠재력/NNG + 을/JKO
BTHO0394-00005294	갖고	갖/VV + 고/EC
BTHO0394-00005295	있어야	있/VX + 어야/EC
BTHO0394-00005296	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005297	·연방연구사업에	·/SP + 연방/NNG + 연구/NNG + 사업/NNG + 에/JKB
BTHO0394-00005298	있어서	있/VV + 어서/EC
BTHO0394-00005299	효율성,	효율/NNG + 성/XSN + ,/SP
BTHO0394-00005300	책임성	책임/NNG + 성/XSN
BTHO0394-00005301	그리고	그리고/MAJ
BTHO0394-00005302	성공의	성공/NNG + 의/JKG
BTHO0394-00005303	극대화를	극대/NNG + 화/XSN + 를/JKO
BTHO0394-00005304	위해	위하/VV + 아/EC
BTHO0394-00005305	노력해야	노력/NNG + 하/XSV + 아야/EC
BTHO0394-00005306	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005307	즉,	즉/MAG + ,/SP
BTHO0394-00005308	국립연구소에서의	국립/NNG + 연구소/NNG + 에서/JKB + 의/JKG
BTHO0394-00005309	효율성을	효율/NNG + 성/XSN + 을/JKO
BTHO0394-00005310	극대화하며,	극대/NNG + 화/XSN + 하/XSV + 며/EC + ,/SP
BTHO0394-00005311	GPRA(Government	GPRA/SL + (/SS + Government/SL
BTHO0394-00005312	Performance	Performance/SL
BTHO0394-00005313	and	and/SL
BTHO0394-00005314	Result	Result/SL
BTHO0394-00005315	Act)를	Act/SL + )/SS + 를/JKO
BTHO0394-00005316	통한	통하/VV + ᆫ/ETM
BTHO0394-00005317	책임의	책임/NNG + 의/JKG
BTHO0394-00005318	달성을	달성/NNG + 을/JKO
BTHO0394-00005319	추구하고,	추구/NNG + 하/XSV + 고/EC + ,/SP
BTHO0394-00005320	연구협력을	연구/NNG + 협력/NNG + 을/JKO
BTHO0394-00005321	통한	통하/VV + ᆫ/ETM
BTHO0394-00005322	성공의	성공/NNG + 의/JKG
BTHO0394-00005323	극대화를	극대/NNG + 화/XSN + 를/JKO
BTHO0394-00005324	위해	위하/VV + 아/EC
BTHO0394-00005325	노력해야	노력/NNG + 하/XSV + 아야/EC
BTHO0394-00005326	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0394-00005327	박스	박스/NNG
BTHO0394-00005328	안에	안/NNG + 에/JKB
BTHO0394-00005329	있는	있/VV + 는/ETM
BTHO0394-00005330	미국	미국/NNP
BTHO0394-00005331	하원의	하원/NNG + 의/JKG
BTHO0394-00005332	과학정책은	과학/NNG + 정책/NNG + 은/JX
BTHO0394-00005333	오늘날	오늘날/NNG
BTHO0394-00005334	미국	미국/NNP
BTHO0394-00005335	기초연구가	기초/NNG + 연구/NNG + 가/JKS
